source_id,source_name,institution,source_type,source_nature,authority_level,editorial_role,radar,channel_type,channel_status,source_verified,channel_verified,endpoint_verified,primary_evidence_available,supports_claims,supports_events,supports_data,limitations
WMO-001,World Meteorological Organization,WMO,METEOROLOGICAL_ORGANIZATION,PRIMARY,A+,ALERT;DATA,ALERT RADAR;ENVIRONMENTAL DATA RADAR,CAP_XML,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Alerts describe hazards and may be preliminary
ILO-001,International Labour Organization,ILO,INTERNATIONAL_ORGANIZATION,PRIMARY,A+,DATA;CONTEXT,SOCIAL DATA RADAR;HUMAN DEVELOPMENT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Labour indicators require definitions and reference periods
FAO-001,Food and Agriculture Organization of the UN,FAO,INTERNATIONAL_ORGANIZATION,PRIMARY,A+,DATA;ALERT,FOOD DATA RADAR;HUMANITARIAN CONFLICT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Food security indicators can be estimates and forecasts
WHO-001,World Health Organization,WHO,HEALTH_ORGANIZATION,PRIMARY,A+,HEALTH_ALERT;DATA,HEALTH DATA RADAR;ALERT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Outbreak information can be provisional and jurisdiction-specific
UNICEF-001,UNICEF,UNICEF,UN_ORGANIZATION,PRIMARY,A+,DATA;ALERT,HUMAN DEVELOPMENT RADAR;SOCIAL DATA RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Country-level data may have reporting delays
UNHCR-001,UNHCR,UNHCR,UN_ORGANIZATION,PRIMARY,A+,DATA;HUMANITARIAN,HUMAN DEVELOPMENT RADAR;HUMANITARIAN CONFLICT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Operational figures can be updated retrospectively
NIST-AI-001,NIST AI,NIST,TECHNICAL_INSTITUTION,PRIMARY,A+,CONTEXT;DATA,AI RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Guidance is not automatically binding law
CISA-001,CISA,CISA,CYBERSECURITY_AGENCY,PRIMARY,A+,SECURITY_ALERT,CYBER RADAR;ALERT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Alerts concern U.S. federal cybersecurity context unless otherwise stated
CISA-KEV-001,Known Exploited Vulnerabilities,CISA,VULNERABILITY_DATABASE,PRIMARY,A+,SECURITY_ALERT,CYBER RADAR,DATASET,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,KEV inclusion indicates known exploitation but not universal exploitation prevalence
CVE-001,CVE,CVE Program,VULNERABILITY_IDENTIFIER,PRIMARY,A+,DISCOVERY,CYBER RADAR,DATASET,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,CVE assignment does not itself establish severity or exploitation
NVD-001,National Vulnerability Database,NIST,VULNERABILITY_DATABASE,PRIMARY,A+,DATA,CYBER RADAR,API,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,CVSS scores and enrichment can change
ENISA-001,European Union Agency for Cybersecurity,ENISA,CYBERSECURITY_AGENCY,PRIMARY,A+,ALERT;CONTEXT,CYBER RADAR;REGULATORY RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Guidance and threat assessments are not necessarily legal acts
EU-AI-OFFICE-001,EU AI Office,European Commission,REGULATORY_INSTITUTION,PRIMARY,A+,REGULATORY_ACTION;DOCUMENT,AI RADAR;REGULATORY RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Distinguish guidance from binding legal instruments
JRC-001,Joint Research Centre,European Commission,RESEARCH_INSTITUTION,PRIMARY,A,SCIENCE;DATA,SCIENCE RADAR;AI RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Research evidence is not automatically official policy
EURLEX-001,EUR-Lex,European Union,LEGAL_DATABASE,PRIMARY,A+,DOCUMENT;REGULATORY_ACTION,REGULATORY RADAR;POLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Legal effect depends on instrument and publication status
EP-001,European Parliament,European Union,PARLIAMENT,PRIMARY,A+,VOTE;DOCUMENT,POLITICAL RADAR;ELECTION RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Parliamentary debate is not equivalent to adopted law
CURIA-001,Court of Justice of the European Union,CJEU,JUDICIARY,PRIMARY,A+,JUDGMENT,DOCUMENT RADAR;POLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Judgments must be read with case number and procedural status
BOE-001,Boletín Oficial del Estado,Government of Spain,OFFICIAL_GAZETTE,PRIMARY,A+,LAW_PUBLISHED,REGULATORY RADAR;DOCUMENT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Publication and effective date are distinct concepts
CONGRESO-001,Congreso de los Diputados,Spain,PARLIAMENT,PRIMARY,A+,VOTE;DOCUMENT,POLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Bills and proposals are not enacted law
TC-001,Tribunal Constitucional,Spain,CONSTITUTIONAL_COURT,PRIMARY,A+,JUDGMENT,DOCUMENT RADAR;POLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Procedural status and publication matter
ECHR-001,European Court of Human Rights,Council of Europe,HUMAN_RIGHTS_COURT,PRIMARY,A+,JUDGMENT,DOCUMENT RADAR;POLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Judgment status and finality must be checked
UNSC-001,UN Security Council,United Nations,INTERNATIONAL_BODY,PRIMARY,A+,RESOLUTION;SANCTIONS,POLITICAL RADAR;GEOPOLITICAL RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Statements differ in legal and political effect
IDEA-001,International IDEA,International IDEA,ELECTIONS_INSTITUTION,DATA_RESEARCH,A,DATA;CONTEXT,ELECTION RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,NO,YES,YES,Comparative election data may be harmonised estimates
OSCE-ODIHR-001,OSCE/ODIHR,OSCE,ELECTION_OBSERVER,PRIMARY_OBSERVATION,A,OBSERVATION,ELECTION RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,NO,Observation is not certification of results
FEC-001,U.S. Federal Election Commission,FEC,ELECTORAL_AUTHORITY,PRIMARY,A+,OFFICIAL_RESULT;DATA,ELECTION RADAR,API,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Campaign finance data have reporting and amendment cycles
REUTERS-001,Reuters,Reuters,NEWS_AGENCY,SECONDARY,A+,DISCOVERY;BREAKING_NEWS;CROSS_CHECK,NEWS RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,YES,NO,Secondary reporting must be traced to primary evidence
AP-001,Associated Press,Associated Press,NEWS_AGENCY,SECONDARY,A+,DISCOVERY;BREAKING_NEWS;CROSS_CHECK,NEWS RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,YES,NO,Secondary reporting must be traced to primary evidence
AFP-001,Agence France-Presse,AFP,NEWS_AGENCY,SECONDARY,A+,DISCOVERY;BREAKING_NEWS;CROSS_CHECK,NEWS RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,YES,NO,Secondary reporting must be traced to primary evidence
EFE-001,Agencia EFE,EFE,NEWS_AGENCY,SECONDARY,A+,DISCOVERY;BREAKING_NEWS;CROSS_CHECK,NEWS RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,YES,NO,Especially useful for Spain/Hispanoamerica but still secondary
MALDITA-001,Maldita.es,Maldita.es,FACT_CHECKER,INVESTIGATIVE,A+,FACT_CHECKING,VERIFICATION RADAR;DISINFORMATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,NO,NO,Fact-checking does not replace primary evidence
NEWTRAL-001,Newtral,Newtral,FACT_CHECKER,INVESTIGATIVE,A+,FACT_CHECKING,VERIFICATION RADAR;DISINFORMATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,NO,NO,Fact-checking does not replace primary evidence
FULLFACT-001,Full Fact,Full Fact,FACT_CHECKER,INVESTIGATIVE,A,FACT_CHECKING,VERIFICATION RADAR;DISINFORMATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,NO,NO,Fact-checking does not replace primary evidence
EUVSDISINFO-001,EUvsDisinfo,European External Action Service,DISINFORMATION_DATABASE,PRIMARY_ANALYTICAL,A+,DISINFORMATION_ANALYSIS,DISINFORMATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,NO,NO,Analytical database entries require review of cited underlying evidence
BELLINGCAT-001,Bellingcat,Bellingcat,OSINT_INVESTIGATION,INVESTIGATIVE,A+,OSINT_VERIFICATION,OSINT RADAR;GEOLOCATION RADAR;VERIFICATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,YES,NO,OSINT findings require reproducibility and corroboration
OSM-001,OpenStreetMap,OpenStreetMap Foundation,MAP_DATA,DATA,A,MAP_DATA,GEOLOCATION RADAR,API,PENDING,YES,PENDING,PENDING,NO,NO,YES,YES,Community-maintained data can contain omissions or errors
OPENSKY-001,OpenSky Network,OpenSky Network,AVIATION_DATA,DATA,A+,AVIATION_DATA,AVIATION RADAR,API,PENDING,YES,PENDING,PENDING,NO,NO,YES,YES,Coverage and receiver limitations affect completeness
ADSB-001,ADS-B Exchange,ADS-B Exchange,AVIATION_TRACKING,DATA,A,AVIATION_TRACKING,AVIATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,NO,YES,YES,Tracking coverage is not universal
IMO-001,International Maritime Organization,IMO,INTERNATIONAL_ORGANIZATION,PRIMARY,A+,OFFICIAL_MARITIME,MARITIME RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Official maritime material varies in legal effect
EMSA-001,European Maritime Safety Agency,European Union,MARITIME_AGENCY,PRIMARY,A+,MARITIME_MONITORING,MARITIME RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Monitoring products require interpretation and coverage checks
INVID-001,InVID Verification Plugin,European Journalism Centre,VERIFICATION_TOOL,TOOL,A+,VISUAL_VERIFY,VERIFICATION RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,NO,NO,Tool output is investigative assistance, not proof by itself
ACLED-001,Armed Conflict Location & Event Data,ACLED,CONFLICT_DATA,DATA,A+,CONFLICT_DATA,CONFLICT RADAR,API,PENDING,YES,PENDING,PENDING,NO,YES,YES,YES,Event coding is methodology-dependent and not a substitute for original evidence
UCDP-001,Uppsala Conflict Data Program,Uppsala University,CONFLICT_DATABASE,DATA,A+,CONFLICT_DATA,CONFLICT RADAR,DATASET,PENDING,YES,PENDING,PENDING,NO,YES,YES,YES,Historical datasets have coding rules and publication lag
IISS-001,International Institute for Strategic Studies,IISS,DEFENSE_ANALYSIS,SECONDARY,A+,ANALYSIS,DEFENSE RADAR;CONFLICT RADAR,WEB,PENDING,YES,PENDING,PENDING,NO,YES,YES,NO,Analytical judgments are not primary event evidence
SIPRI-001,Stockholm International Peace Research Institute,SIPRI,DEFENSE_RESEARCH,DATA_RESEARCH,A+,DATA;CONTEXT,DEFENSE RADAR,DATASET,PENDING,YES,PENDING,PENDING,NO,YES,YES,YES,SIPRI TIV is not a monetary valuation
OCHA-001,UN Office for the Coordination of Humanitarian Affairs,OCHA,HUMANITARIAN_ORGANIZATION,PRIMARY,A+,HUMANITARIAN_DATA;ALERT,HUMANITARIAN CONFLICT RADAR;ALERT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Situation reports can be provisional
RELIEFWEB-001,ReliefWeb,OCHA,HUMANITARIAN_INFORMATION,PRIMARY_REPOSITORY,A+,HUMANITARIAN_INFORMATION,HUMANITARIAN CONFLICT RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Repository status must be distinguished from original publisher
UNOSAT-001,UNOSAT,United Nations Satellite Centre,SATELLITE_DAMAGE_ASSESSMENT,PRIMARY_ANALYTICAL,A+,DAMAGE_VERIFICATION,DAMAGE VERIFICATION RADAR;SATELLITE RADAR,WEB,PENDING,YES,PENDING,PENDING,YES,YES,YES,YES,Damage assessments depend on imagery date and analytical method

EL-PAIS-001,EL PAÍS,EL PAÍS,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
ABC-001,ABC,ABC,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-CONFIDENCIAL-001,El Confidencial,El Confidencial,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-MUNDO-001,El Mundo,El Mundo,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
LA-VANGUARDIA-001,La Vanguardia,La Vanguardia,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
OK-DIARIO-001,OK Diario,OK Diario,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-INDEPENDIENTE-001,El Independiente,El Independiente,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EURO-WEEKLY-NEWS-SPAIN-001,Euro Weekly News Spain,Euro Weekly News Spain,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
AEMET-AVISOS-ESPANA-001,AEMET - Avisos España,AEMET - Avisos España,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
GOBIERNO-DE-CANARIAS-001,Gobierno de Canarias,Gobierno de Canarias,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
AYUNTAMIENTO-DE-ASPE-001,Ayuntamiento de Aspe,Ayuntamiento de Aspe,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
LA-PROVINCIA-001,La Provincia,La Provincia,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-DIA-001,El Día,El Día,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
DIARIO-DE-AVISOS-001,Diario de Avisos,Diario de Avisos,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-FARO-DE-MELILLA-001,El Faro de Melilla,El Faro de Melilla,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-FARO-DE-CEUTA-001,El Faro de Ceuta,El Faro de Ceuta,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
LA-OPINION-DE-MALAGA-001,La Opinión de Málaga,La Opinión de Málaga,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-ADELANTADO-DE-SEGOVIA-001,El Adelantado de Segovia,El Adelantado de Segovia,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
DIARIO-DE-MALLORCA-001,Diario de Mallorca,Diario de Mallorca,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
DIARIO-DE-IBIZA-001,Diario de Ibiza,Diario de Ibiza,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EL-PERIODICO-DE-ARAGON-001,El Periódico de Aragón,El Periódico de Aragón,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
HERALDO-DE-ARAGON-001,Heraldo de Aragón,Heraldo de Aragón,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
NACIO-DIGITAL-001,Nació Digital,Nació Digital,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (ACTUALIDAD),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
LA-VERDAD-001,La Verdad,La Verdad,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (CARTAGENA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
20-MINUTOS-001,20 minutos,20 minutos,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (CARTAGENA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
EXPANSION-001,Expansión,Expansión,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (CARTAGENA),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
BBC-NEWS-001,BBC News,BBC News,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
BBC-MUNDO-001,BBC Mundo,BBC Mundo,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
EURONEWS-ESPANOL-001,Euronews Español,Euronews Español,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
EURONEWS-ENGLISH-001,Euronews English,Euronews English,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
RT-ENGLISH-001,RT English,RT English,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
EURONEWS-001,Euronews,Euronews,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
RT-001,RT,RT,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
AL-JAZEERA-001,Al Jazeera,Al Jazeera,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
LE-MONDE-001,Le Monde,Le Monde,OFFICIAL_MEDIA_OR_INSTITUTION,SECONDARY,PRIMARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,,
THE-GUARDIAN-001,The Guardian,The Guardian,MEDIA,SECONDARY,SECONDARY,DISCOVERY;CROSS_CHECK,NEWS RADAR (MUNDO),RSS,PENDING,PENDING,PENDING,PENDING,YES,YES,NO,Medio secundario; trazar afirmaciones importantes a fuente primaria antes de publicar,
