feed_id,source_id,channel_id,endpoint_id,feed_name,resource_type,update_frequency,update_trigger,reference_period,revision_policy,versioning,priority,verification_status,notes
FEED-UNHCR-RDF,UNHCR-001,UNHCR-RDF-001,EP-UNHCR-RDF-001,Refugee Data Finder,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A+,PENDING,Track snapshot date
FEED-UNFPA-DATA,UNFPA-001,UNFPA-DATA-001,EP-UNFPA-DATA-001,UNFPA population data,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A,PENDING,Population indicators
FEED-UNESCO-UIS,UNESCO-UIS-001,UNESCO-UIS-001,EP-UNESCO-UIS-001,UNESCO UIS data,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A+,PENDING,Education/science indicators
FEED-UNEP-DATA,UNEP-001,UNEP-DATA-001,EP-UNEP-DATA-001,UNEP environmental data,DATASET,scheduled,release/update,varies,revisions_possible,versioned,A+,PENDING,Environmental indicators
FEED-CISA-KEV,CISA-KEV-001,CISA-KEV-001,EP-CISA-KEV-001,Known Exploited Vulnerabilities,DATASET,on_change,vulnerability_addition_or_update,event_based,versioned,A+,PENDING,Exploitability signal; correlate with CVE/NVD
FEED-NVD,CVE-NVD-001,NVD-REST-001,EP-NVD-REST-001,NVD vulnerability data,API_DATA,on_update,CVE_update,varies,revisions_possible,versioned,A+,PENDING,Scoring/enrichment may change after initial publication
FEED-COPERNICUS-S1,COPERNICUS-001,SAT-COPERNICUS-006,EP-SENTINEL-1-001,Sentinel-1 SAR products,DATASET,on_acquisition,product_publication,acquisition_time,processing_updates,product_version,A+,PENDING,Record acquisition and processing timestamps
FEED-COPERNICUS-S2,COPERNICUS-001,SAT-COPERNICUS-007,EP-SENTINEL-2-001,Sentinel-2 optical products,DATASET,on_acquisition,product_publication,acquisition_time,processing_updates,product_version,A+,PENDING,Record cloud and processing metadata where relevant
FEED-OSM-OVERPASS,OSM-001,GEO-OSM-003,EP-OSM-OVERPASS-001,OpenStreetMap query data,API_DATA,continuous,on_change,query_time,source_dataset_changes,snapshot_query,A,PENDING,Query result is a temporal snapshot
FEED-OPENSKY-REALTIME,OPENSKY-001,AVIATION-OPENSKY-002,EP-OPENSKY-REST-001,OpenSky live observations,OBSERVATION_FEED,near_real_time,observation,observation_time,late_corrections_possible,stream_snapshot,A+,PENDING,Observation does not establish motive or intent
FEED-OPENSKY-HIST,OPENSKY-001,AVIATION-OPENSKY-003,EP-OPENSKY-HIST-001,OpenSky historical data,DATASET,scheduled,archive_update,historical,revisions_possible,versioned,A,PENDING,Use historical snapshot/version
FEED-ADSB-REALTIME,ADSB-EXCHANGE-001,AVIATION-ADSB-002,EP-ADSB-API-001,ADS-B Exchange observations,OBSERVATION_FEED,near_real_time,observation,observation_time,corrections_possible,stream_snapshot,A+,PENDING,Independent tracking source; not an official flight record
FEED-MARITRAFFIC,AIS-MARITIME-001,MARITIME-MT-002,EP-MT-API-001,MarineTraffic AIS observations,OBSERVATION_FEED,near_real_time,observation,observation_time,corrections_possible,stream_snapshot,A,PENDING,AIS-derived observation; coverage limitations must be recorded
FEED-ACLED,ACLED-001,CONFLICT-ACLED-004,EP-ACLED-API-001,ACLED conflict events,DATASET,scheduled,event_ingestion,event_date,revisions_possible,versioned,A+,PENDING,Dataset evidence is not automatically the original incident record
FEED-UCDP,UCDP-001,CONFLICT-UCDP-008,EP-UCDP-API-001,UCDP conflict events,DATASET,scheduled,event_coding,event_date,revisions_possible,versioned,A+,PENDING,Research dataset with methodology and coding rules
FEED-OCHA,OCHA-001,HUMANITARIAN-OCHA-005,EP-OCHA-DATA-001,OCHA humanitarian data,DATASET,on_update,situation_update,reference_date,revisions_possible,versioned,A+,PENDING,Humanitarian context and operational indicators
FEED-UNOSAT,UNOSAT-001,DAMAGE-UNOSAT-001,EP-UNOSAT-001,UNOSAT damage products,DATASET,on_publication,assessment_release,imagery_date,revisions_possible,versioned,A+,PENDING,Preserve imagery date and assessment publication date separately
FEED-FEC,FEC-001,FEC-DATA-001,EP-FEC-DATA-001,FEC campaign finance data,DATASET,scheduled,filing/update,transaction_or_filing_date,revisions_possible,versioned,A+,PENDING,Distinguish filing date from event date
FEED-IDEA,IDEA-001,IDEA-DATA-001,EP-IDEA-DATA-001,International IDEA electoral data,DATASET,scheduled,dataset_update,election_date,revisions_possible,versioned,A+,PENDING,Comparative data; official election authority remains primary for results
FEED-OSCE-ELECTION,OSCE-ODIHR-001,OSCE-ELECTION-001,EP-OSCE-ELECTION-001,OSCE election observation reports,DOCUMENT_FEED,on_release,publication,election_cycle,updates_by_report,item_based,A+,PENDING,Observation is distinct from certified election result
FEED-UNSC-RESOLUTIONS,UN-SC-001,UN-SC-002,EP-UNSC-RES-001,UN Security Council resolutions,DOCUMENT_FEED,on_release,publication,adoption_date,final_document_record,document_version,A+,PENDING,Preserve adopted text and voting record where available
FEED-UNSC-SANCTIONS,UN-SC-001,UN-SC-003,EP-UNSC-SANCTIONS-001,UN sanctions lists,DATASET,on_change,listing_or_update,effective_date,updates_corrections,versioned,A+,PENDING,Effective date is distinct from publication date
